,Brand,Movement,Case material,Bracelet material,Gender,Price,Shape,Crystal,Dial,Bracelet color,Clasp,Total Sale,Seller Reviews,Year,Volume
25850,Louis Vuitton,Quartz,steel,Rubber,Men's watch/Unisex,90750.0,Circular,Sapphire crystal,Blue,Black,Buckle,14642.0,448.0,2013-01-01,High Sale
25853,Louis XVI,Quartz,steel,Steel,Men's watch/Unisex,35310.0,Circular,Sapphire crystal,Black,Silver,Fold clasp,14650.0,7438.0,2024-01-01,High Sale
25860,Norqain,Automatic,Carbon,Rubber,Men's watch/Unisex,367207.5,Circular,Sapphire crystal,Black,Green,Buckle,14958.0,10180.0,2024-01-01,High Sale
25862,H.Moser & Cie.,Automatic,steel,Rubber,Men's watch/Unisex,1043625.0,Circular,Sapphire crystal,Blue,Black,Buckle,306.0,242.0,2023-01-01,Low Sale
25865,Armand Nicolet,Automatic,steel,Animal skin,Women's watch,321750.0,Circular,Sapphire crystal,Blue,White,Double-fold clasp,14642.0,448.0,2013-01-01,High Sale
25867,Ming,Manual winding,steel,Animal skin,Men's watch/Unisex,348562.5,Circular,Glass,Black,Blue,Buckle,14642.0,448.0,2021-01-01,High Sale
25872,Yema,Automatic,steel,Steel,Men's watch/Unisex,58822.5,Circular,Sapphire crystal,Black,Silver,Fold clasp,1088.0,815.0,2024-01-01,Medium Sale
25876,Formex,Automatic,steel,Steel,Men's watch/Unisex,154522.5,Rectangular,Sapphire crystal,Red,Steel,Fold clasp,1076.0,945.0,2024-01-01,Medium Sale
25879,Doxa,Automatic,steel,Steel,Men's watch/Unisex,192142.5,Rectangular,Sapphire crystal,Silver,Steel,Fold clasp,537.0,512.0,2024-01-01,Low Sale
25881,Breitling,Automatic,steel,Steel,Men's watch/Unisex,338250.0,Circular,Sapphire crystal,Blue,Steel,Fold clasp,457.0,332.0,2024-01-01,Low Sale
25884,Tecnotempo,Automatic,steel,Animal skin,Men's watch/Unisex,43477.5,Circular,Sapphire crystal,Black,Black,Double-fold clasp,14642.0,448.0,2024-01-01,High Sale
25886,Romain Jerome,Automatic,steel,Leather,Men's watch/Unisex,412417.5,Circular,Sapphire crystal,Brown,Black,Buckle,522.0,375.0,2024-01-01,Low Sale
25890,HYT,Manual winding,steel,Rubber,Men's watch/Unisex,1200375.0,Circular,Sapphire crystal,Black,Black,Fold clasp,14642.0,448.0,2024-01-01,High Sale
25891,Rolex,Automatic,steel,Steel,Men's watch/Unisex,1146750.0,Rectangular,Sapphire crystal,Black,Steel,Fold clasp,544.0,399.0,2023-01-01,Low Sale
25893,Ventura,Automatic,Titanium,Titanium,Men's watch/Unisex,196597.5,Circular,Sapphire crystal,Black,Silver,Double-fold clasp,265.0,203.0,2010-01-01,Low Sale
25898,Maserati,Quartz,steel,Steel,Men's watch/Unisex,16005.0,Circular,Mineral Glass,Black,Black,Fold clasp,14650.0,7438.0,2024-01-01,High Sale
25900,Hublot,Automatic,steel,Rubber,Men's watch/Unisex,235125.0,Circular,Sapphire crystal,Yellow,Black,Double-fold clasp,232.0,167.0,2001-01-01,Low Sale
25902,NOMOS,Manual winding,steel,Leather,Men's watch/Unisex,120532.5,Circular,Sapphire crystal,White,Silver,Buckle,224.0,199.0,2024-01-01,Low Sale
25906,Louis XVI,Automatic,steel,Steel,Men's watch/Unisex,62122.5,Circular,Sapphire crystal,White,Gold,Fold clasp,14650.0,7438.0,2024-01-01,High Sale
25910,F.P.Journe,Manual winding,gold,Animal skin,Men's watch/Unisex,22270875.0,Circular,Sapphire crystal,Grey,Black,Buckle,3088.0,2340.0,2024-01-01,High Sale
25913,Michele,Quartz,steel,Steel,Women's watch,164587.5,Circular,Sapphire crystal,White,Gold,Double-fold clasp,1428.0,880.0,2024-01-01,Medium Sale
25920,TW Steel,Quartz,steel,Animal skin,Men's watch/Unisex,22275.0,Circular,Sapphire crystal,Black,Black,Buckle,14650.0,7438.0,2024-01-01,High Sale
25924,U-Boat,Quartz,steel,Rubber,Men's watch/Unisex,76890.0,Circular,Sapphire crystal,Black,Black,Buckle,1288.0,1134.0,2024-01-01,Medium Sale
25925,Rolex,Automatic,steel,Steel,Men's watch/Unisex,2136750.0,Circular,Sapphire crystal,Black,Steel,Fold clasp,410.0,304.0,2023-01-01,Low Sale
25929,Claude Bernard,Automatic,steel,Steel,Men's watch/Unisex,66577.5,Circular,Sapphire crystal,Green,Silver,Fold clasp,428.0,348.0,2024-01-01,Low Sale
25930,Locman,Automatic,steel,Silicon,Men's watch/Unisex,98340.0,Circular,Sapphire crystal,Blue,Blue,Double-fold clasp,273.0,222.0,2024-01-01,Low Sale
25932,Revue Thommen,Automatic,steel,Steel,Men's watch/Unisex,87780.0,Circular,Sapphire crystal,Black,Steel,Fold clasp,512.0,383.0,2024-01-01,Low Sale
25935,Junghans,Automatic,steel,Leather,Men's watch/Unisex,176962.5,Circular,Sapphire crystal,Silver (solid),Brown,Double-fold clasp,732.0,554.0,2024-01-01,Medium Sale
25938,Daniel Roth,Manual winding,gold,Animal skin,Men's watch/Unisex,7420875.0,Rectangular,Sapphire crystal,Silver,Black,Buckle,3088.0,2340.0,2024-01-01,High Sale
25941,Jean Marcel,Manual winding,steel,Leather,Men's watch/Unisex,133567.5,Circular,Sapphire crystal,Blue,Blue,Fold clasp,338.0,258.0,2023-01-01,Low Sale
25943,TW Steel,Quartz,steel,Animal skin,Men's watch/Unisex,29700.0,Circular,Sapphire crystal,Black,Black,Buckle,14650.0,7438.0,2024-01-01,High Sale
25949,IWC,Manual winding,gold,Animal skin,Men's watch/Unisex,2433750.0,Circular,Sapphire crystal,Black,Black,Fold clasp,284.0,199.0,2011-01-01,Low Sale
25955,Mühle Glashütte,Automatic,steel,Animal skin,Men's watch/Unisex,209880.0,Circular,Sapphire crystal,Blue,Brown,Double-fold clasp,250.0,219.0,2023-01-01,Low Sale
25957,Seiko,Automatic,steel,Textile,Men's watch/Unisex,30937.5,Circular,Mineral Glass,Grey,Silver,Buckle,2265.0,1331.0,2022-01-01,Medium Sale
25958,Bruno Söhnle,Quartz,steel,Leather,Men's watch/Unisex,44715.0,Circular,Sapphire crystal,Silver,Brown,Buckle,7781.0,5151.0,2024-01-01,High Sale
25959,Citizen,Quartz,steel,Steel,Women's watch,18150.0,Circular,Mineral Glass,Blue,Steel,Fold clasp,1428.0,880.0,2024-01-01,Medium Sale
25960,Bulgari,Automatic,steel,Rubber,Men's watch/Unisex,573375.0,Circular,Sapphire crystal,Black,Black,Buckle,3088.0,2340.0,2024-01-01,High Sale
25962,Michel Herbelin,Quartz,steel,Steel,Women's watch,48675.0,Circular,Sapphire crystal,White,Gold,Fold clasp,2329.0,1745.0,2024-01-01,Medium Sale
25964,Squale,Automatic,steel,Leather,Men's watch/Unisex,102795.0,Circular,Sapphire crystal,Brown,Brown,Buckle,1099.0,895.0,2023-01-01,Medium Sale
25969,Mühle Glashütte,Automatic,steel,Animal skin,Men's watch/Unisex,223410.0,Rectangular,Sapphire crystal,Black,Brown,Double-fold clasp,14642.0,448.0,2002-01-01,High Sale
